char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version,scrape_started_at_utc,scrape_ended_at_utc
kelger,BRV Attack+,20634,0,0,0,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
kelger,BRV Attack++,20647,0,0,0,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
kelger,HP Attack+,20635,1,0,0,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
kelger,HP Attack++,20648,1,0,0,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
kelger,Impact Cut,20628,8,0,20,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
kelger,First Strike,20646,4,0,10,"['Melee', 'Instant', 'FollowUp']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
kelger,Tri-Element,20633,4,4,20,"['Group', 'Melee']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
kelger,Protect All,20661,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
kelger,Wolves' Gale,20640,6,6,10,"['Group', 'Melee']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
kelger,Requiem Slash,20643,5,5,15,"['Group', 'Melee', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
kelger,Shadow Wolf,20645,3,3,10,"['Melee', 'Instant', 'Counters']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
kelger,Lupine Attack,20651,2,2,400,"['Group', 'Melee']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
kelger,Swallow Smash,20656,4,4,250,"['Group', 'Melee', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
kelger,Enchanced Tri-Element (C),20663,4,4,0,"['Group', 'Melee', 'Instant', 'NoEX', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
kelger,Enchanced Requiem Slash (C),20665,5,5,0,"['Group', 'Melee', 'Instant', 'NoEX', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jihlnabaat,BRV Attack++,20253,0,0,0,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jihlnabaat,HP Attack++,20254,1,0,0,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jihlnabaat,Draining Slash,20231,3,1,20,"['Melee', 'Heals']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jihlnabaat,Call Reinforcements,20235,0,0,0,['Instant'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jihlnabaat,Additional attack from special effect Azure Behemoth,20252,3,3,10,"['Group', 'Melee', 'Instant', 'FollowUp']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jihlnabaat,HP Heal Boost All,20267,0,0,0,"['Heals', 'Instant', 'NoSummon', 'NoEX']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jihlnabaat,Sacrifice Pawn,20247,5,5,10,"['Group', 'Melee']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jihlnabaat,Sacrifice Pawn+,20248,7,7,10,"['Group', 'Melee', 'Heals']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jihlnabaat,Full-Scale Assault Orders,20251,4,4,15,"['Group', 'Melee', 'Instant', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jihlnabaat,Malicious Surge,20257,2,1,400,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jihlnabaat,Request for Turks Cooperation,20262,4,4,250,"['Group', 'Melee', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jihlnabaat,Enhanced Draining Slash (C),20269,3,1,0,"['Melee', 'Heals', 'Instant', 'NoEX', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jihlnabaat,Enhanced Full-Scale Assault Orders (C),20271,4,4,0,"['Group', 'Melee', 'Instant', 'NoEX', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
weiss,BRV Attack+,20464,0,0,0,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
weiss,BRV Attack++,20476,0,0,0,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
weiss,HP Attack+,20465,1,0,0,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
weiss,HP Attack++,20477,1,0,0,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
weiss,Twin Bladeflash,20459,6,0,20,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
weiss,Division of Heaven and Earth,20463,4,4,20,"['Group', 'Melee']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
weiss,Attack Up,20490,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
weiss,Bullets of Ruin,20470,5,5,10,"['Group', 'Melee']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
weiss,Additional attack from Bullets of Ruin,20472,3,1,0,"['Group', 'Melee', 'Instant', 'FollowUp']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
weiss,Transmigratory Swordplay,20475,7,1,15,"['Melee', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
weiss,Empowered with Omega,20480,2,2,350,"['Group', 'Melee']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
weiss,Black White Emulsion,20485,4,4,250,"['Group', 'Melee', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
weiss,Enchanced Division of Heaven and Earth (C),20492,4,4,0,"['Group', 'Melee', 'Instant', 'NoEX', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
weiss,Enchanced Transmigratory Swordplay (C),20494,7,1,0,"['Melee', 'Instant', 'NoEX', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
astos,BRV Attack++,20190,0,0,0,['Magic'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
astos,BRV Attack+,20181,0,0,0,['Magic'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
astos,HP Attack++,20191,1,0,0,['Magic'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
astos,Cremation,20189,1,1,10,"['Group', 'Magic', 'Instant']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
astos,HP Attack+,20182,1,0,0,['Magic'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
astos,Dark Thrust,20176,10,0,20,['Magic'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
astos,Dark Slash,20180,5,5,20,"['Group', 'Magic']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
astos,Boost Up,20207,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
astos,Dark Warhammer,20187,9,1,10,['Magic'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
astos,Dark Glory,20194,7,7,15,"['Group', 'Magic', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
astos,Flare Star,20197,2,2,350,"['Group', 'Magic']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
astos,Conflict Ultima,20202,4,4,250,"['Group', 'Magic', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
astos,Enhanced Dark Slash (C),20209,5,5,0,"['Group', 'Magic', 'Instant', 'NoEX', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
astos,Enhanced Dark Glory (C),20211,7,7,0,"['Group', 'Magic', 'Instant', 'NoEX', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
iris,BRV Attack+,19836,0,0,0,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
iris,BRV Attack++,19851,0,0,0,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
iris,HP Attack+,19837,1,0,0,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
iris,HP Attack++,19852,1,0,0,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
iris,Potion Pass,19831,0,0,0,"['Heals', 'Instant']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
iris,Moonbow,19835,6,1,20,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
iris,BRV Heal All,19865,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
iris,Moogle Throw,19847,3,3,10,"['Group', 'Melee']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
iris,Revolution,19850,8,2,15,"['Melee', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
iris,Eclipse,19855,2,2,350,"['Group', 'Melee']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
iris,Slapstick Moogle,19860,4,4,250,"['Group', 'Melee', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
iris,Enhanced Potion Pass (C),19867,0,0,0,"['Heals', 'Instant', 'NoEX', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
iris,Enhanced Revolution (C),19869,8,2,0,"['Melee', 'Instant', 'NoEX', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
reks,BRV Attack+,19751,0,0,0,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
reks,BRV Attack++,19767,0,0,0,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
reks,HP Attack+,19752,1,0,0,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
reks,HP Attack++,19768,1,0,0,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
reks,Blade Combo,19748,4,4,20,"['Group', 'Melee']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
reks,Shield Rush,19756,4,1,20,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
reks,HP Heal Attack All,19781,0,0,0,"['Heals', 'Instant', 'NoSummon', 'NoEX']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
reks,Yellow Storm,19761,6,1,10,"['Melee', 'Thunder']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
reks,Wide Ruin,19764,4,4,15,"['Group', 'Melee', 'Thunder', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
reks,Remove Obstacle,19765,2,2,10,"['Group', 'Melee', 'Instant', 'FollowUp']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
reks,Remove Obstacle+,19766,4,4,10,"['Group', 'Melee', 'Instant', 'FollowUp']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
